date,location_key,location_name,latitude,longitude,elevation_m,tavg,tmin,tmax,prcp,wspd,wpgt,pres,humidity,solar_radiation,flood_event,nasa_tavg,nasa_tmin,nasa_tmax,nasa_prcp,nasa_wspd,nasa_wpgt,nasa_pres
2000-01-23,swat,"Swat District, Khyber Pakhtunkhwa",34.8091,72.3617,980.0,1.56,-2.98,7.98,0.03,1.42,2.78,79.07,54.52,13.57,0,1.56,-2.98,7.98,0.03,1.42,2.78,79.07
2000-01-24,upper_dir,"Upper Dir District, Khyber Pakhtunkhwa",35.335,71.876,1420.0,-4.9,-7.03,-2.46,0.07,1.16,2.35,71.41,79.35,9.02,0,-4.9,-7.03,-2.46,0.07,1.16,2.35,71.41
2000-01-24,swat,"Swat District, Khyber Pakhtunkhwa",34.8091,72.3617,980.0,0.25,-2.73,4.74,0.16,1.14,1.79,79.11,63.7,12.27,0,0.25,-2.73,4.74,0.16,1.14,1.79,79.11
2000-01-25,swat,"Swat District, Khyber Pakhtunkhwa",34.8091,72.3617,980.0,-0.13,-2.61,3.68,0.29,1.37,3.69,79.16,86.22,4.59,0,-0.13,-2.61,3.68,0.29,1.37,3.69,79.16
2000-01-25,upper_dir,"Upper Dir District, Khyber Pakhtunkhwa",35.335,71.876,1420.0,-5.12,-6.87,-2.24,0.03,1.71,4.56,71.37,88.78,9.63,0,-5.12,-6.87,-2.24,0.03,1.71,4.56,71.37
2000-01-26,swat,"Swat District, Khyber Pakhtunkhwa",34.8091,72.3617,980.0,0.21,-3.12,4.6,0.01,1.17,2.56,79.25,69.58,6.07,0,0.21,-3.12,4.6,0.01,1.17,2.56,79.25
2000-01-26,upper_dir,"Upper Dir District, Khyber Pakhtunkhwa",35.335,71.876,1420.0,-5.59,-8.93,-0.92,0.0,1.19,2.87,71.49,72.39,8.65,0,-5.59,-8.93,-0.92,0.0,1.19,2.87,71.49
2000-01-27,swat,"Swat District, Khyber Pakhtunkhwa",34.8091,72.3617,980.0,0.42,-4.08,7.73,0.0,1.38,2.69,79.3,46.44,14.28,0,0.42,-4.08,7.73,0.0,1.38,2.69,79.3
2000-01-27,upper_dir,"Upper Dir District, Khyber Pakhtunkhwa",35.335,71.876,1420.0,-5.94,-12.03,1.01,0.0,1.26,2.37,71.58,53.85,10.15,0,-5.94,-12.03,1.01,0.0,1.26,2.37,71.58
2000-01-28,upper_dir,"Upper Dir District, Khyber Pakhtunkhwa",35.335,71.876,1420.0,-3.86,-11.14,3.69,0.0,1.1,2.61,71.73,38.24,11.24,0,-3.86,-11.14,3.69,0.0,1.1,2.61,71.73
2000-01-28,swat,"Swat District, Khyber Pakhtunkhwa",34.8091,72.3617,980.0,1.9,-3.6,10.13,0.0,1.4,2.62,79.4,31.49,14.33,0,1.9,-3.6,10.13,0.0,1.4,2.62,79.4
2000-01-29,upper_dir,"Upper Dir District, Khyber Pakhtunkhwa",35.335,71.876,1420.0,-0.6,-8.59,7.54,0.0,1.3,2.6,71.82,43.18,13.26,0,-0.6,-8.59,7.54,0.0,1.3,2.6,71.82
2000-01-29,swat,"Swat District, Khyber Pakhtunkhwa",34.8091,72.3617,980.0,5.35,-1.73,14.34,0.0,1.56,2.92,79.36,28.91,13.93,0,5.35,-1.73,14.34,0.0,1.56,2.92,79.36
2000-01-30,upper_dir,"Upper Dir District, Khyber Pakhtunkhwa",35.335,71.876,1420.0,-0.24,-4.74,6.03,0.09,1.7,3.78,71.67,53.08,8.03,0,-0.24,-4.74,6.03,0.09,1.7,3.78,71.67
2000-01-30,swat,"Swat District, Khyber Pakhtunkhwa",34.8091,72.3617,980.0,6.04,0.02,13.44,0.02,1.52,3.0,79.19,36.51,6.05,0,6.04,0.02,13.44,0.02,1.52,3.0,79.19
2000-01-31,swat,"Swat District, Khyber Pakhtunkhwa",34.8091,72.3617,980.0,-0.11,-1.7,1.8,8.45,1.02,1.72,78.91,83.24,2.75,0,-0.11,-1.7,1.8,8.45,1.02,1.72,78.91
2000-01-31,upper_dir,"Upper Dir District, Khyber Pakhtunkhwa",35.335,71.876,1420.0,-4.45,-5.98,-2.86,6.14,1.24,2.64,71.15,85.28,2.94,0,-4.45,-5.98,-2.86,6.14,1.24,2.64,71.15
2000-02-01,upper_dir,"Upper Dir District, Khyber Pakhtunkhwa",35.335,71.876,1420.0,-5.9,-9.8,-3.06,8.08,0.93,1.96,70.97,78.02,7.86,0,-5.9,-9.8,-3.06,8.08,0.93,1.96,70.97
2000-02-01,swat,"Swat District, Khyber Pakhtunkhwa",34.8091,72.3617,980.0,-1.28,-4.75,2.12,14.56,1.09,1.9,78.7,81.69,4.68,0,-1.28,-4.75,2.12,14.56,1.09,1.9,78.7
2000-02-02,swat,"Swat District, Khyber Pakhtunkhwa",34.8091,72.3617,980.0,-1.59,-6.74,3.08,0.54,1.23,2.11,78.92,63.33,9.78,0,-1.59,-6.74,3.08,0.54,1.23,2.11,78.92
2000-02-02,upper_dir,"Upper Dir District, Khyber Pakhtunkhwa",35.335,71.876,1420.0,-7.91,-13.38,-2.96,0.09,1.34,2.48,71.18,72.14,7.95,0,-7.91,-13.38,-2.96,0.09,1.34,2.48,71.18
2000-02-03,upper_dir,"Upper Dir District, Khyber Pakhtunkhwa",35.335,71.876,1420.0,-6.74,-9.11,-3.61,0.0,1.32,3.17,71.4,76.92,9.96,0,-6.74,-9.11,-3.61,0.0,1.32,3.17,71.4
2000-02-03,swat,"Swat District, Khyber Pakhtunkhwa",34.8091,72.3617,980.0,-0.01,-3.9,4.97,0.0,1.3,2.65,79.14,60.01,13.68,0,-0.01,-3.9,4.97,0.0,1.3,2.65,79.14
2000-02-04,upper_dir,"Upper Dir District, Khyber Pakhtunkhwa",35.335,71.876,1420.0,-5.64,-9.13,-1.11,0.07,0.97,1.96,71.14,67.35,11.41,0,-5.64,-9.13,-1.11,0.07,0.97,1.96,71.14
2000-02-04,swat,"Swat District, Khyber Pakhtunkhwa",34.8091,72.3617,980.0,0.19,-3.27,5.35,0.13,1.13,2.17,78.85,62.28,15.16,0,0.19,-3.27,5.35,0.13,1.13,2.17,78.85
2000-02-05,upper_dir,"Upper Dir District, Khyber Pakhtunkhwa",35.335,71.876,1420.0,-5.58,-14.6,2.48,0.0,1.22,3.25,70.94,44.57,12.87,0,-5.58,-14.6,2.48,0.0,1.22,3.25,70.94
2000-02-05,swat,"Swat District, Khyber Pakhtunkhwa",34.8091,72.3617,980.0,0.63,-7.26,9.55,0.01,1.39,2.83,78.57,43.34,15.49,0,0.63,-7.26,9.55,0.01,1.39,2.83,78.57
2000-02-06,upper_dir,"Upper Dir District, Khyber Pakhtunkhwa",35.335,71.876,1420.0,-5.29,-11.97,1.75,0.0,1.29,2.64,71.23,42.79,12.75,0,-5.29,-11.97,1.75,0.0,1.29,2.64,71.23
2000-02-06,swat,"Swat District, Khyber Pakhtunkhwa",34.8091,72.3617,980.0,0.51,-4.03,7.58,0.0,1.32,2.64,78.91,40.53,15.88,0,0.51,-4.03,7.58,0.0,1.32,2.64,78.91
2000-02-07,upper_dir,"Upper Dir District, Khyber Pakhtunkhwa",35.335,71.876,1420.0,-5.42,-12.18,1.71,0.0,1.51,3.13,71.27,48.99,13.21,0,-5.42,-12.18,1.71,0.0,1.51,3.13,71.27
2000-02-07,swat,"Swat District, Khyber Pakhtunkhwa",34.8091,72.3617,980.0,0.73,-5.42,8.55,0.0,1.56,2.71,78.92,41.23,16.12,0,0.73,-5.42,8.55,0.0,1.56,2.71,78.92
2000-02-08,swat,"Swat District, Khyber Pakhtunkhwa",34.8091,72.3617,980.0,0.41,-5.27,5.18,0.0,1.27,2.51,78.84,52.94,14.6,0,0.41,-5.27,5.18,0.0,1.27,2.51,78.84
2000-02-08,upper_dir,"Upper Dir District, Khyber Pakhtunkhwa",35.335,71.876,1420.0,-5.95,-10.76,-2.23,0.0,1.41,2.87,71.14,67.75,14.13,0,-5.95,-10.76,-2.23,0.0,1.41,2.87,71.14
2000-02-09,swat,"Swat District, Khyber Pakhtunkhwa",34.8091,72.3617,980.0,-1.94,-3.56,0.41,4.13,1.02,2.43,78.77,88.2,2.82,0,-1.94,-3.56,0.41,4.13,1.02,2.43,78.77
2000-02-09,upper_dir,"Upper Dir District, Khyber Pakhtunkhwa",35.335,71.876,1420.0,-6.41,-8.1,-3.77,2.99,1.98,4.43,70.96,90.17,4.35,0,-6.41,-8.1,-3.77,2.99,1.98,4.43,70.96
2000-02-10,swat,"Swat District, Khyber Pakhtunkhwa",34.8091,72.3617,980.0,-1.31,-4.71,3.02,1.08,1.06,2.27,78.52,75.76,11.88,0,-1.31,-4.71,3.02,1.08,1.06,2.27,78.52
2000-02-10,upper_dir,"Upper Dir District, Khyber Pakhtunkhwa",35.335,71.876,1420.0,-6.63,-10.31,-2.8,0.41,1.15,2.67,70.78,77.85,10.55,0,-6.63,-10.31,-2.8,0.41,1.15,2.67,70.78
2000-02-11,swat,"Swat District, Khyber Pakhtunkhwa",34.8091,72.3617,980.0,-1.69,-5.35,2.96,1.03,1.07,2.08,78.46,60.79,13.76,0,-1.69,-5.35,2.96,1.03,1.07,2.08,78.46
2000-02-11,upper_dir,"Upper Dir District, Khyber Pakhtunkhwa",35.335,71.876,1420.0,-7.09,-12.43,-1.19,0.31,1.07,1.95,70.74,59.21,10.76,0,-7.09,-12.43,-1.19,0.31,1.07,1.95,70.74
2000-02-12,swat,"Swat District, Khyber Pakhtunkhwa",34.8091,72.3617,980.0,-0.77,-4.32,4.56,0.08,1.09,2.19,78.79,56.95,14.16,0,-0.77,-4.32,4.56,0.08,1.09,2.19,78.79
2000-02-12,upper_dir,"Upper Dir District, Khyber Pakhtunkhwa",35.335,71.876,1420.0,-7.09,-13.59,-1.18,0.09,1.15,2.11,71.04,54.92,13.01,0,-7.09,-13.59,-1.18,0.09,1.15,2.11,71.04
2000-02-13,swat,"Swat District, Khyber Pakhtunkhwa",34.8091,72.3617,980.0,0.51,-5.75,8.23,0.0,1.43,2.85,79.03,40.59,17.06,0,0.51,-5.75,8.23,0.0,1.43,2.85,79.03
2000-02-13,upper_dir,"Upper Dir District, Khyber Pakhtunkhwa",35.335,71.876,1420.0,-5.69,-13.57,1.59,0.0,1.14,2.62,71.33,44.03,13.39,0,-5.69,-13.57,1.59,0.0,1.14,2.62,71.33
2000-02-14,upper_dir,"Upper Dir District, Khyber Pakhtunkhwa",35.335,71.876,1420.0,-3.53,-11.36,3.74,0.0,1.39,2.71,71.53,39.58,15.87,0,-3.53,-11.36,3.74,0.0,1.39,2.71,71.53
2000-02-14,swat,"Swat District, Khyber Pakhtunkhwa",34.8091,72.3617,980.0,2.29,-4.61,9.92,0.0,1.5,2.75,79.18,34.62,17.36,0,2.29,-4.61,9.92,0.0,1.5,2.75,79.18
2000-02-15,upper_dir,"Upper Dir District, Khyber Pakhtunkhwa",35.335,71.876,1420.0,-3.99,-5.98,-0.1,0.15,1.63,3.34,71.34,54.94,11.05,0,-3.99,-5.98,-0.1,0.15,1.63,3.34,71.34
2000-02-15,swat,"Swat District, Khyber Pakhtunkhwa",34.8091,72.3617,980.0,2.2,-2.28,8.17,0.04,1.38,2.93,79.02,46.27,9.32,0,2.2,-2.28,8.17,0.04,1.38,2.93,79.02
2000-02-16,swat,"Swat District, Khyber Pakhtunkhwa",34.8091,72.3617,980.0,-0.72,-2.96,3.51,0.01,1.27,3.03,78.67,78.51,11.06,0,-0.72,-2.96,3.51,0.01,1.27,3.03,78.67
2000-02-16,upper_dir,"Upper Dir District, Khyber Pakhtunkhwa",35.335,71.876,1420.0,-5.5,-7.06,-3.21,0.01,1.76,3.36,70.9,79.17,7.04,0,-5.5,-7.06,-3.21,0.01,1.76,3.36,70.9
2000-02-17,swat,"Swat District, Khyber Pakhtunkhwa",34.8091,72.3617,980.0,-0.86,-4.91,3.6,0.0,1.18,2.55,78.62,63.11,12.84,0,-0.86,-4.91,3.6,0.0,1.18,2.55,78.62
